hindu   agama
filateli    aktivitas
atmometer   alat
cetok   alat
dekoder alat
dongkrak    alat
kolorimeter alat
kuesioner   alat
layar   alat
mikser  alat
pensil  alat
piring  alat
sirene  alat
tiltmeter   alat
usg alat
reflektor   alat
radio   alat
gunting_kuku    alat
timbangan   alat
bor alat
pesawat_telepon alat
katup   alat
transistor  alat
kafan   kain
becak   kendaraan
oplet   kendaraan
tank    kendaraan
kereta  kendaraan
panser  kendaraan
abon    makanan
bakwan  makanan
buntil  makanan
kuluban makanan
rujak   makanan
sate    makanan
sayur   makanan
seruit  makanan
saturnus    planet
wakaf   sedekah
neuron  sel
golok   senjata
kolusi  sikap
bambu   tanaman
delima  tanaman
gandum  tanaman
melati  tanaman
pegagan tanaman
tebu    tanaman
kerokan terapi
dusun   wilayah
keringat    air
asparagina  asam_amino
hukum_adat  aturan
afrika  benua
udang   binatang
kucing  binatang
kodok   binatang
sapi    binatang
polaris bintang
taurus  bintang
stroberi    buah
distrik daerah
pedesaan    daerah
antawacana  dialog
fabel   dongeng
aligator    hewan
kambing hewan
teripang    hewan
ular    hewan
kedokteran  ilmu
genetika    ilmu
ergonomi    ilmu
bakteriologi    ilmu
kepala_negara   jabatan
menteri jabatan
trem    kereta
mendoan makanan
tempe   makanan
bakpao  makanan
sekoteng    minuman
kanada  negara
peru    negara
turki   negara
pemerintah  organisasi
kopral  pangkat
letnan_jenderal pangkat
cincin  perhiasan
gergaji perkakas
nilon   polimer
polipeptida polimer
rna polimer
lipatan struktur
barongsai   tarian
wortel  tumbuhan
jengkol tumbuhan
kenari  tumbuhan
lamun   tumbuhan
lobak   tumbuhan
mundu   tumbuhan
terna   tumbuhan
candi   bangunan
rotunda bangunan
rumah_panggung  bangunan
stadion bangunan
durian  buah
sukun   buah
kuah    cairan
cinta   emosi
kesepian    emosi
pektinase   enzim
seruloplasmin   enzim
keledai hewan
badak_jawa  hewan
tuna    ikan
kerapu_kayu ikan
sepat_siam  ikan
barakuda    ikan
paleoantropologi    ilmu
agrometeorologi ilmu
fisioterapi ilmu
pedologi    ilmu
frenologi   ilmu
humaniora   ilmu
perencanaan kegiatan
pertanian   kegiatan
pemangkasan kegiatan
penerjemahan    kegiatan
berilium    logam
torium  logam
zirkonium   logam
basket  olahraga
bulu_tangkis    olahraga
catur   olahraga
selendang   pakaian
etika   pedoman
batuk_rejan penyakit
bulimia penyakit
sampar  penyakit
tropomiosin protein
kujang  senjata
belalang    serangga
ngengat serangga
abolisi tindakan
titanium    unsur
argon   unsur
kalifornium unsur
kobalt  unsur
magnesium   unsur
molibdenum  unsur
skandium    unsur
